Height,Weight,Gender
156.35803638837413,56.803707413007984,Female
165.51643041646992,75.06669850571667,Female
167.50305024258412,72.69955846694462,Female
178.6017027887501,83.15283280436968,Female
153.46637737121972,49.72859145309753,Female
164.39487798304418,46.63659400446071,Female
156.2540252265006,81.0114264473725,Female
154.47859793217634,76.7170819736891,Female
171.7293959201338,76.0250188751043,Male
173.28322381639336,73.4054283617058,Female
165.61102338685896,86.32798000573602,Male
162.88121438038368,72.03531644980771,Male
161.43776579759046,80.346996164825,Female
164.29661748031748,68.42324331369123,Female
186.9609813590938,66.7293259093934,Male
174.4323795278499,76.12252753879167,Male
174.81710386969038,85.90053205540086,Male
171.1549537383753,81.0975954648366,Female
164.5662472003093,75.69050395842699,Male
171.4619217742888,88.89397985011279,Female
154.1051961972127,54.00734094564105,Female
171.6391340613481,94.09299987776184,Female
170.16324904281,62.997939253189436,Male
190.268951117412,61.06157460409467,Male
178.2427605432179,63.4805826303901,Female
160.06883301841924,83.60194805780203,Male
173.3237063027007,52.11205627895947,Male
179.46838402599676,53.75869092614114,Female
175.0484953457477,71.9459738068851,Female
152.08266825845277,69.94999867866368,Male
163.67905506508015,27.054311016521524,Male
165.0781863561066,80.19412288595642,Female
170.64297855976173,67.60340330824246,Female
149.95399436873558,73.2550533519641,Male
189.43205260258526,81.18684242867577,Female
154.7973165986159,66.90414585704511,Male
164.44644951776434,70.84012363380054,Male
156.50605766446765,82.59267455956363,Female
170.9477530323423,60.631213215575606,Female
170.16698621657778,78.78022625400463,Male
178.9205819091912,82.82822875935221,Female
159.44557673761204,56.82102500141448,Female
171.31034744831044,83.18256074014592,Male
161.56264969731586,44.85074879921183,Male
185.72566878269106,67.88920955740309,Male
159.80149673245378,49.43223254270394,Male
165.43382953840018,68.81571892700097,Female
163.14574233987682,50.478937957820165,Female
183.58872563699066,86.23672936027921,Male
159.67469737300058,69.07644766781102,Male
167.59605810522424,62.829251717576994,Female
167.07102663241798,96.83592926877144,Male
148.21342943087134,72.91506694918104,Female
179.22273513534955,73.73643117036247,Female
175.91487088645255,69.08708918418012,Female
168.3005075739804,57.540560106827314,Female
187.99308034170576,89.8455820487165,Male
166.24149668385954,42.6589555773197,Female
180.21634199599097,73.70760596213798,Male
159.64062528027387,34.371587129479266,Female
160.03165381464657,43.36672152777351,Female
166.3713944443533,72.51550697153122,Female
155.50043688594093,70.57799660935626,Male
178.25937485346145,60.77408019437277,Male
177.0069952164067,47.79687190634377,Female
